,player_id,season,competition,club,appearances,goals,assists,yellow,secondyellow,red,minutes,uyl_team,uyl_name,uyl_wins
174,203842,15/16,Europa League,Shakhtar Donetsk,8,2,2,0,0,0,712,Shakhtar Donetsk,Viktor Kovalenko,0
175,203842,15/16,Champions League,Shakhtar Donetsk,5,0,0,0,0,0,75,Shakhtar Donetsk,Viktor Kovalenko,0
176,203842,15/16,Champions League Qualifying,Shakhtar Donetsk,2,0,0,0,0,0,14,Shakhtar Donetsk,Viktor Kovalenko,0
177,258911,2021,AFC Champions League,Al-Nassr FC,2,0,0,0,0,0,21,Chelsea FC,Mukhtar Ali,1
178,258911,2020,AFC Champions League,Al-Nassr FC,8,1,0,1,0,0,407,Chelsea FC,Mukhtar Ali,1
179,258911,17/18,Europa League,Vitesse Arnhem,1,0,0,0,0,0,12,Chelsea FC,Mukhtar Ali,1
180,177862,17/18,Europa League,Celtic FC,2,0,1,0,0,0,36,Chelsea FC,Charly Musonda Jr.,1
181,402008,20/21,Champions League,RB Leipzig,6,1,0,1,0,0,428,Red Bull Salzburg,Amadou Haidara,1
182,402008,19/20,Champions League,RB Leipzig,7,0,0,3,0,0,267,Red Bull Salzburg,Amadou Haidara,1
183,402008,18/19,Europa League,Red Bull Salzburg,4,1,1,1,0,0,360,Red Bull Salzburg,Amadou Haidara,1
184,402008,18/19,Champions League Qualifying,Red Bull Salzburg,3,0,0,1,0,0,270,Red Bull Salzburg,Amadou Haidara,1
185,402008,17/18,Europa League,Red Bull Salzburg,14,2,0,1,1,0,1219,Red Bull Salzburg,Amadou Haidara,1
186,402008,17/18,Europa League Qualifying,Red Bull Salzburg,2,1,0,0,0,0,50,Red Bull Salzburg,Amadou Haidara,1
187,402008,17/18,Champions League Qualifying,Red Bull Salzburg,2,1,0,0,0,0,48,Red Bull Salzburg,Amadou Haidara,1
188,307924,20/21,Europa League,Red Bull Salzburg,2,1,0,0,0,0,180,Red Bull Salzburg,Mërgim Berisha,1
189,307924,20/21,Champions League,Red Bull Salzburg,6,4,2,0,0,0,473,Red Bull Salzburg,Mërgim Berisha,1
190,307924,20/21,Champions League Qualifying,Red Bull Salzburg,2,0,0,0,0,0,69,Red Bull Salzburg,Mërgim Berisha,1
191,307924,19/20,Europa League,Red Bull Salzburg,1,0,0,0,0,0,14,Red Bull Salzburg,Mërgim Berisha,1
192,342148,16/17,Champions League,SL Benfica,1,0,0,0,0,0,8,SL Benfica,Zé Gomes,0
193,223725,20/21,Champions League,Sevilla FC,6,1,0,0,0,0,293,FC Barcelona,Munir El Haddadi,1
194,223725,19/20,Europa League,Sevilla FC,9,5,2,1,0,0,445,FC Barcelona,Munir El Haddadi,1
195,223725,18/19,Europa League,Sevilla FC,3,2,0,0,0,0,199,FC Barcelona,Munir El Haddadi,1
196,223725,18/19,Champions League,FC Barcelona,2,0,0,0,0,0,65,FC Barcelona,Munir El Haddadi,1
197,223725,15/16,Champions League,FC Barcelona,4,0,3,0,0,0,257,FC Barcelona,Munir El Haddadi,1
198,223725,15/16,Club World Cup,FC Barcelona,1,0,1,0,0,0,90,FC Barcelona,Munir El Haddadi,1
199,223725,14/15,Champions League,FC Barcelona,3,0,0,0,0,0,120,FC Barcelona,Munir El Haddadi,1
200,268176,19/20,Europa League,AS Saint-Étienne,1,0,0,0,0,0,90,FC Barcelona,Sergi Palencia,1
201,268176,18/19,Europa League,FC Girondins Bordeaux,3,0,0,1,0,0,270,FC Barcelona,Sergi Palencia,1
202,268176,18/19,Europa League Qualifying,FC Girondins Bordeaux,1,0,0,0,0,0,90,FC Barcelona,Sergi Palencia,1
203,197999,17/18,Europa League Qualifying,FC Dinamo Bucharest,2,0,0,1,0,0,157,SL Benfica,Filipe Nascimento,0
204,344598,20/21,Champions League,Borussia Dortmund,2,0,0,0,0,0,19,Paris Saint-Germain,Dan-Axel Zagadou,0
205,344598,19/20,Champions League,Borussia Dortmund,5,0,0,1,0,0,284,Paris Saint-Germain,Dan-Axel Zagadou,0
206,344598,18/19,Champions League,Borussia Dortmund,4,0,0,1,0,0,347,Paris Saint-Germain,Dan-Axel Zagadou,0
207,344598,17/18,Europa League,Borussia Dortmund,1,0,0,1,0,0,90,Paris Saint-Germain,Dan-Axel Zagadou,0
208,344598,17/18,Champions League,Borussia Dortmund,2,0,0,0,0,0,88,Paris Saint-Germain,Dan-Axel Zagadou,0
209,392772,20/21,Europa League,Tottenham Hotspur,1,0,0,0,0,0,16,Chelsea FC,Marcel Lavinier,0
